sqft,floors,bedrooms,bathrooms,price
8400,1,4,2,258750
7000,1,3,1,350000
10464,1,3,1,152000
7528,1,2,1,378500
41041,1.5,4,1.75,1.02E+06
6700,1,3,1.5,419000
13927,1,5,3,895000
9546,1,4,2.25,668500
2533,2,2,2.5,487000
10137,2,3,3.5,538000
28014,1,5,1.5,898000
7767,1,4,2,315000
4440,2,3,2.5,800000
8250,1,3,1.75,516130
19593,1.5,3,2.5,1.60E+06
12796,2,4,2.5,1.20E+06
9112,1,4,2.5,355425
5925,2,3,2.5,1.16E+06
9600,2,4,2.5,689000
1500,3,3,3.25,500000
42733,1,5,2.5,430000
15312,1,4,2.25,299500
5289,2,4,2.5,349950
4500,2,5,3.25,1.42E+06
10189,2,4,2.25,998000
9600,1,3,1,329000
5956,2,3,1.75,575000
9430,2,5,2.25,529900
10189,1,4,2.5,1.47E+06
9400,1,4,1.75,725000
5000,2,3,2.5,286000
9926,1,3,2,335000
7000,1,3,1.5,395300
13348,2,4,2.75,510000
7500,1,3,1,203000
8301,1,2,1,248000
7216,2,3,2.25,265000
4560,1.5,4,1.5,1.00E+06
24500,1.5,3,1,1.00E+06
9828,1,3,2,241400
10074,1,4,1.75,309950
4057,1,3,1.75,294010
9672,2,3,2.25,345000
9672,2,3,2.25,625000
4543,2,4,2.5,660000
4500,1,2,2,559000
9786,2,4,3.25,866000
5700,1.5,3,2,770000
7827,1,3,1.5,259950
9838,1,5,2.75,352000
13180,2,5,4.75,2.47E+06
10229,1,3,2,395000
6650,1.5,4,1.75,276500
100623,1.5,3,2.25,530000
10260,2,4,3.25,798000
5756,1,2,2,380000
10433,2,4,2.5,350000
6049,2,3,2.5,325000
4549,2,3,2.5,336000
17235,1,3,2.25,286900
7245,1,5,2.25,472000
8100,2,3,1.75,263000
4000,1,3,3,565000
8444,2,3,2.5,765000
9409,1,3,2.25,1.52E+06
8174,1,3,2,405000
16219,2,4,3.5,1.10E+06
188760,1,3,3,555000
3516,2,3,2.5,305000
9370,1,3,2.25,289950
218472,2,5,3.5,487500
12091,1,3,1,96500
12091,1,3,1,185000
6061,1.5,4,1,150550
5080,1.5,4,2,339000
7230,1,4,1.75,675000
4080,1,3,1.75,615000
9320,2,4,2.5,837500
11835,1,2,1,250000
8144,2,3,2.5,583000
1728,3,3,2.5,499000
6328,2,3,2.5,550000
204296,1,4,2.5,400000
4097,2,3,2.5,990400
52272,1.5,3,2.5,600000
6236,1,2,1,325000
6000,2,3,2.5,265000
9362,1,3,2.5,1.62E+06
8353,1,3,1.5,347500
3000,1.5,5,2,629000
11340,1.5,2,2,1.09E+06
7859,2,4,2.5,397500
3700,1.5,2,1,404500
7500,1,3,1.5,225000
9900,1,3,2.25,267000
4000,2,4,3.75,800000
6918,2,4,2.5,339000
11972,1,4,2.5,1.85E+06
3876,1.5,5,1,525000
6218,2,5,3.5,1.15E+06
6250,1.5,1,1,565000
1280,2,2,2.25,387000
34290,2,4,2.5,720000
12426,2,4,3.5,1.50E+06
7617,1,2,1,235000
7617,1,2,1,365000
7484,2,3,2.5,368250
7484,2,3,2.5,580000
11774,2,4,3.25,1.10E+06
4496,2,4,2.5,215000
9959,2,4,2.5,648000
9318,2,4,3,705000
1540,2,3,2.25,465000
3500,1.5,5,2,650000
7500,1,4,2.25,335000
31850,1.5,4,2,640000
8029,2,4,2.5,638250
14353,2,4,3.5,1.46E+06
4600,2,4,2,375000
9525,1,4,1.75,842000
7200,1,3,2.25,499950
25211,2,4,2.5,810000
11970,2,5,2,310000
8809,1,3,2.5,730000
4750,1.5,4,1.75,637800
4800,1.5,3,1,225000
10800,1.5,4,1,417500
10160,1,4,2,265000
8683,2,4,2.5,550000
159865,1,3,2,625700
10637,2,3,2.5,595000
13475,1,3,1.5,270000
3200,2,5,3,739375
1032,2,2,1.75,357562
29224,2,4,2.5,1.01E+06
4286,1,2,1.75,455000
9600,1,5,2.25,310000
111514,2,3,2.75,415000
8100,1,2,1,452000
16928,1,3,2,810000
4750,1,3,2,730001
86636,1,3,2.25,825000
3000,2,3,2.5,665000
7800,1,4,1.75,327500
36218,2,3,2.5,699950
34680,2,3,2.5,424000
3375,1.5,4,2.5,657000
10844,1,3,1.75,445000
762,2,3,2.5,450000
7455,1,3,1,350000
17532,2,4,2.5,460000
22651,1,4,2.5,385000
6160,2,4,2.25,272000
5544,2,3,2.5,535000
5200,1,2,1,216500
12245,2,3,2.5,325000
7280,1,3,1.75,420200
5650,1,3,1.75,258000
4500,1.5,3,2,450000
3794,2,4,2.25,720168
5000,1.5,3,2,652000
8248,2,4,2.5,569500
292288,1,4,1.75,411000
3825,1,3,1.75,524950
10152,1,2,1,153000
5467,2,3,2.5,775000
6111,2,4,2.5,338500
9000,1,3,1.75,570000
8429,1,3,2,653000
1222,2,2,2.5,435000
8160,1,2,1,207000
7500,1,2,1,540000
9583,2,4,2.25,386000
8075,1.5,5,2.25,265000
572,2,3,2.25,250000
6600,2,3,2,1.70E+06
7251,2,4,2.5,455000
13000,2,4,3.25,1.80E+06
7200,1,3,2,759000
74358,2,4,2.75,970000
24501,1,1,0,280000
8327,1,3,2.25,690000
25150,1,3,2.5,789900
5100,1.5,2,1,447500
7575,1,4,2.25,440000
7789,1,3,2,278000
6000,1.5,5,2.5,980000
14197,1,3,2.75,245000
11475,1,3,1.5,287000
132858,1,3,1.75,435000
11690,2,3,2.5,585000
5846,1,4,1.75,616000
9000,1,3,1.75,203000
3840,2,4,2.75,860000
12690,1,4,2.5,833000
6856,2,4,2.75,565000
7589,2,3,2.5,572500
4235,1,4,2,254000
21000,3,4,4.25,1.53E+06
217800,2,4,3,900000
3730,2,3,2.5,899000
6000,1,3,2,560000
7200,1,3,1.75,512500
5000,1.5,4,2.5,775000
4700,1,2,1,200000
4700,1,3,1,172000
6000,1,3,1,219900
9123,1,3,1,641200
7200,2,5,3.25,473000
9580,1,3,1.75,540000
4500,1,2,1,295000
2296,1,3,1,370000
8000,1.5,4,2.25,1.73E+06
48257,1,3,1.5,275000
4750,1,3,1,89000
9800,1.5,2,1.75,175000
11900,1,3,2.5,490000
9630,2,3,2.25,342400
4200,2,3,1,345000
3400,1,2,1,399000
9719,1,4,2.5,550000
11835,1,3,2.25,652450
29347,1,2,2.25,438000
5058,1,3,1.75,605000
11733,1,4,2.5,395000
3048,2,3,2,449950
5526,2,4,2.5,651100
6050,1,3,1,241000
20412,2,5,5,3.42E+06
1749,1,2,1.5,268500
7200,1,2,1,200000
7680,1,4,1.75,400375
6315,1,2,1.75,429000
2400,1,3,1,230000
10702,2,4,2.25,1.20E+06
6000,1,1,1,314200
8887,1,4,2.5,513000
5346,1,2,1,535000
6344,2,6,3,420000
4118,2,3,2.5,345950
2016,1,3,2,483500
2500,2,4,2.25,695000
8906,2,4,2.5,295000
9960,1,3,2.25,434975
4592,2,3,2.5,513000
11407,1,3,1.75,360000
8000,1,3,1,234900
6603,2,4,3.5,963000
4800,1,2,1.5,595000
14408,2,4,3.25,942500
11200,2,4,3.25,1.03E+06
3600,1.5,3,1,350000
39848,2,4,2,416500
60720,1.5,3,1,209900
5000,1.5,3,1.75,802000
8800,1,4,1.5,230000
10375,2,3,3,489000
28750,1,3,1.5,497000
7738,1,3,2.25,250000
3600,2,3,3,925000
15496,2,4,2.5,390000
9600,1,3,2.75,415000
9638,1,3,2,785000
4000,1.5,3,2,575000
8636,1,2,1,170000
3400,1,4,1.75,750000
9639,1,3,1,230000
35074,2,4,3,855000
45738,2,3,1,235000
69260,1,2,1,335000
18129,2,5,3,1.20E+06
6000,1.5,4,2,677000
5000,2,3,2,575000
4590,1,2,1,450000
7202,2,3,2.5,817250
28600,1,4,2.25,440000
2400,1.5,2,2,526000
15258,2,3,2.25,762500
7719,2,4,2.5,325000
85728,2,4,3.5,840000
4500,1,2,1,377500
7128,1,3,1.5,212500
20301,2,4,2.5,749400
37843,1.5,3,2.5,663000
22518,2,3,2.25,1.48E+06
7800,1,3,1,261000
9248,2,4,2.5,515000
16921,2,3,2.25,410000
10160,1,3,2.25,336000
4128,1,2,1,440000
6200,2,4,2.75,908950
3700,1,2,1,554000
1606,2,3,2.25,387000
9240,2,4,2.25,268643
5000,1,3,1.75,514000
4182,2,2,1.75,420000
9871,1,3,1.75,199000
15701,1,3,1,225000
8424,2,4,2.5,320000
8185,1,2,1,204995
1827,2,3,2,376000
6222,2,4,2.75,705000
7869,2,4,2.5,725995
8190,1,4,2.5,285000
9397,2,4,2.5,285000
5936,2,4,2.5,731000
17000,2,4,3.75,1.56E+06
10423,1,4,2.5,510000
4332,1,2,1,620000
31796,2,3,4,1.11E+06
4960,2,4,3.5,796000
25500,1,3,1.5,255000
4000,2,3,2.5,807000
6000,2,4,2.5,315000
7355,2,3,2.25,637000
43838,2.5,4,4.25,2.73E+06
10023,1,3,2,490000
7281,1,3,1.75,253000
6270,2,4,2.5,325900
6677,1,2,2,425000
6675,2,4,2.5,215000
6675,2,4,2.5,315000
3933,1,3,2,724800
6500,1,2,1,295000
7620,1,3,1.75,509007
169448,1.5,5,2,306000
7210,1,3,1.75,205000
9737,1,3,1.5,275000
7000,1,3,1.75,685000
12833,1,4,2.5,465000
9800,1,4,2.25,560000
9605,1,3,1.75,458500
7590,1,3,1,354000
7923,2,3,2.5,441000
10488,1,3,1.75,194000
6807,2,4,2.5,316500
3250,1.5,3,1.75,524950
6092,2,3,2.25,1.05E+06
13894,2,4,2.25,925000
4524,1.5,3,1.75,780000
3128,2,2,2,241000
10744,1,3,2.75,519000
4000,1,2,1,286000
17800,1,3,2,400000
43560,1,2,1,255000
7754,1,3,1.75,152000
15143,2,4,2,599000
3905,2,4,2.5,330000
7193,1,2,1,461000
34991,2,5,2.5,620000
219106,1,4,2.5,352500
6911,1,3,2,435000
5310,2,5,2.75,725000
12300,1,3,1,300000
8284,2,3,2.5,252000
8996,1,4,2.75,464625
9586,2,3,1,340000
6280,1.5,4,2.25,1.33E+06
13970,1,5,2,455000
18042,2,4,3.5,495000
4501,2,4,2.5,925000
8737,2,4,2.75,587000
5520,1,3,1.75,524000
4800,2,4,2.5,1.03E+06
2332,1,2,1,176000
5500,1,2,1,249900
53143,1.5,3,2.5,499500
10542,1,5,3.5,600000
7800,2,4,2.5,294000
19843,1,4,2,272000
10800,2,3,2.5,390000
9650,1,4,2.5,700000
6621,2,5,2.75,635000
3600,2,4,1.5,920000
8530,1,3,1.75,500000
4515,1,2,1,263500
9990,2,4,2.25,975000
3485,2,3,2.5,575000
40386,2,4,2.5,822000
7200,1,3,1,300000
12080,2,4,2.5,487600
8640,1,4,2,500000
989,3,2,2,680000
21096,2,3,2.5,419000
5250,1,4,1.75,450000
4500,1.5,5,1.75,650000
8086,1,3,1.75,550000
5202,1,4,2,330000
32234,1.5,4,1,282510
13296,2,4,4,2.39E+06
10200,1,2,2,230000
6613,2,4,1.75,750000
5366,2,4,2.5,321000
18000,2,4,3.25,2.20E+06
10416,1,4,2,245000
4000,1,2,1,510000
9571,2,4,3.25,751000
36601,2,4,2.5,675000
13350,1,3,1.75,295000
6000,1,2,1,312000
13129,2,3,3,730000
5880,2,5,3.5,762500
7680,1.5,3,1,150000
7374,1,3,1,270000
9301,1,4,2,400000
6720,2,3,2.5,650000
5000,1,2,1.5,530000
9400,1,3,1,248000
5300,1,4,3.5,760000
10521,1.5,4,1,199000
8400,1,2,1,240000
1795,2,3,1.5,415000
16376,1,3,1,228000
12106,1,4,2.5,525000
5223,1,3,1.75,399950
8571,2,4,2.5,781000
1330,2.5,3,2.5,827000
8621,1.5,5,2.25,525000
5232,2,4,2.5,671300
2378,1,2,1,175000
22547,1,5,2.75,1.10E+06
10560,1,5,2.5,800000
4600,2,4,2.5,329950
7200,2,4,3.25,445000
12208,1,3,1.75,237000
6224,2,6,4,1.11E+06
5700,2,4,2.5,438900
5000,2,9,4.5,1.28E+06
3866,2,4,2.5,600000
4569,2,4,2.5,670000
4823,1,2,2,519000
7350,1,3,2.25,320000
867,2,2,1.5,270000
5832,2,3,2.5,1.00E+06
4800,1,1,1,330000
10960,1,3,2,657500
61419,1,3,1.75,450000
6488,1.5,3,1,150000
175421,2,4,2.5,792500
13227,2,3,2.5,540000
8848,1,3,1,229900
6536,2,4,2.5,533000
12560,1,4,1.75,239000
167706,1,3,2.5,713900
8726,2,4,2.5,427500
7000,1.5,3,1,302000
48743,2,3,2.5,1.15E+06
4270,2,3,2.5,555000
3000,2,3,2.25,495000
13288,1,3,1.5,495000
48292,1,2,0.75,340000
36116,1,4,2.25,464950
7040,2,4,2.5,320000
64469,1,1,1,440000
9990,2,3,1.5,686000
11000,1,4,1.75,555000
3860,1,2,1,361500
7500,2,5,3,1.24E+06
10183,1,4,1,154950
8719,1,3,1.75,247200
7414,1,3,2.25,250000
7200,2,3,1.5,590300
8426,1,5,2.75,541125
923,2,2,2.5,310000
9520,1,4,2.75,704111
19602,1,3,2.25,277500
8937,1,4,2.75,325000
7023,2,3,2.25,289200
5000,1,1,1,185000
8580,2,4,3.5,1.45E+06
8100,1,4,2,420550
11310,1,4,2.25,603000
2640,1.5,3,1,345000
3075,1,3,2,650000
19439,1,5,3,589950
1607,2,2,2.25,309950
241200,1.5,3,2.5,775000
5109,1.5,4,1.5,590000
2760,2.5,4,3,863500
7000,1,3,1,517500
7440,1.5,3,3,700000
8154,1,3,2.5,699000
3574,2,3,2.5,350000
16564,2,4,2.5,795000
7640,1,3,2.5,543000
3143,2,3,2.5,325000
6000,1.5,3,1,337500
11080,1,2,1,425000
9773,1,3,2.5,780000
17389,1,2,1,259000
12950,1,4,1.75,524400
8018,1,3,2,260000
1822,2,2,2,273000
75794,2,4,2.5,639900
8626,2,4,2.5,420000
8000,1,3,1,510500
7200,1.5,4,1,290000
6269,1,3,1.75,226000
3844,1,2,1,300000
10860,1,3,2,407450
7920,1,4,2.25,390000
20000,1,6,2.75,1.06E+06
18167,2,3,2.5,610000
7242,1,3,2.5,239975
5760,1,3,2.5,375000
4400,2,4,2.5,742500
11625,1,4,1.75,450000
10395,1,3,2.25,300000
7700,1,3,1.75,216600
6120,1.5,3,1.75,525000
21000,1,4,2.25,455000
35218,2,4,2.25,390000
8667,1,3,1.75,450000
4400,1.5,4,1,382000
9600,1,3,2.25,287000
190357,1,4,2,460000
3015,2,3,2.25,435000
4032,1.5,2,1,575000
3600,1,3,1.5,626700
8680,1.5,4,1.5,352000
6750,1,3,1,650000
17630,1,3,1,197000
6695,1,8,2.75,340000
14985,1,3,2,560000
6300,1,3,1.75,354000
9086,2,4,2.5,670000
6202,2,4,3.5,769000
3139,1,4,2.5,650000
9484,1,3,1.75,650000
7416,1,4,1.75,289950
21138,1,3,1.75,300000
5750,1,4,1.75,471000
8540,2,4,2.5,639000
6900,1,2,1,287000
8335,2,4,2.5,740000
3000,1,3,2,499922
14071,2,4,2.5,675000
9200,2,5,2.75,738515
4800,1,3,1.75,445000
11343,1,4,2.25,1.04E+06
2196,1,2,1,346000
4886,2,3,2,450000
13755,1,4,2.5,350000
7200,2,4,3.5,2.40E+06
35008,1,4,2.25,594950
5354,2,5,3,1.70E+06
9000,1.5,2,1,219000
3982,2,4,2.5,450000
7311,2,4,2.25,402000
4000,1,2,1,275000
4500,1,3,1.5,421500
60392,2,3,3,560000
9600,1,3,1.75,314000
8190,1,4,2,287000
5750,1.5,4,1,277000
6731,1,2,1,337500
10245,2,4,2.75,792000
7074,2,3,2.5,435000
9030,1,4,2.5,313100
3333,1.5,3,2.25,575000
7800,1,4,2.5,510000
5200,1,2,1,299950
5800,1,3,3,1.03E+06
8625,1,4,1.75,364000
7470,1,3,1,335000
8000,1,3,1,219950
6994,1,3,2,215000
215186,2,4,2.5,640000
6300,1,3,1,535000
7826,1,4,2,253000
2500,2,2,2.5,650000
4445,1.5,3,2.25,672000
8540,1,3,1.75,606000
9720,1,3,2.25,292000
7757,1,3,2,289950
9323,1,4,1.5,257500
6985,1,3,2.5,380000
1113,3,3,1.75,360000
7412,1,3,1.75,269500
6031,2,4,2.5,449000
7232,1.5,4,1.5,375000
10450,2,5,4.75,2.20E+06
59242,2,4,2.5,810000
7861,2,5,3.25,994000
10500,1,5,2.25,275000
2482,2,2,1,300000
8428,2,5,2.5,380000
10051,1,3,2,200000
1349,3,3,3.5,635000
5750,1,2,1,280000
6832,2,3,2.5,574000
9729,1,4,1,1.05E+06
191228,2,3,2.25,545000
8400,1,3,1.5,271950
24969,1,5,1.75,630000
10800,1,2,1,400000
6200,2,4,2.5,334000
4855,2,4,2,332500
1444,2,2,1.5,525000
8403,2,3,2.5,408000
7491,2,4,2.5,846450
10323,1,3,1.5,411100
11340,2,5,3.25,409124
5192,1,2,1.5,335950
9597,1,5,2.5,480000
30144,1,2,1.75,280000
4410,2,4,2.5,668000
8641,2,4,2.5,750000
4000,1,2,1,394475
4320,2,5,1.75,848000
3600,2.5,3,1.5,675000
7572,1,3,1,175000
6000,1,4,1.5,560000
13189,2,5,2.75,538888
9244,2,4,1.75,359000
5128,2,3,2.25,300000
5994,2,3,2.5,273000
1438,2,3,2.5,670000
8376,1,4,2.25,530000
3060,1,3,1.5,625000
6000,1,3,1,248000
4812,2,3,2.5,533000
10510,1,4,3.5,549950
7392,1,4,1.75,485000
4845,2,3,2.5,353500
12142,1,2,1.75,435000
10000,1,3,1,241000
3560,1.5,4,2.75,885000
2370,2.5,6,3,799200
12746,1,3,2.5,760000
5700,1,2,1,270000
7475,1,4,1.75,675000
5940,1,3,2.5,499000
28718,1.5,3,2.5,1.20E+06
4865,2,4,2.5,320000
210254,1,4,3.25,890000
7350,1,4,2.75,275000
8302,2,4,2.5,490000
4200,1.5,3,2.5,550000
9537,1,5,2,390000
11920,1,3,2.25,277000
7647,1,3,1.75,236000
13068,1,3,1.75,265953
6240,1,3,2.25,545000
10109,2,3,2.5,535000
9671,1,3,2.75,1.45E+06
3497,2,4,3,490000
7200,1.5,4,2.5,319950
7200,1,3,1.5,625000
6947,1,3,1,248000
7840,1,3,1.75,475000
9324,1,6,2.75,410000
2000,3,3,2.5,670000
35438,2,3,2.5,430000
4900,1,2,1,313000
15093,2.5,3,3.25,950000
5400,1.5,2,2,751750
5280,2,4,2.5,760000
12408,1,3,1.75,310650
7231,2,4,3,367500
5000,2,4,2.5,580000
3960,1.5,3,2.25,580000
10000,2,4,2.5,665000
8280,2,3,2.25,239950
30083,2,4,2.5,470000
3060,1,3,1.75,733000
8400,1,4,2,250000
9176,1,4,1.75,402000
5107,2,5,3.5,295000
8000,1,5,2.5,355000
22486,1,3,1.5,289000
9140,2,3,2.25,376000
5040,1,2,1,212700
13095,1,3,1.75,325000
5743,2,4,2.5,415000
15151,1,3,2.5,935000
15260,2,3,2.5,372000
8366,1,3,1.5,240000
16262,1,3,1.75,334950
4640,2,4,2.5,426500
14874,1,2,1.75,430000
6183,1,3,1.5,400000
6000,1,3,2.25,455850
8510,2,4,3.5,1.97E+06
10731,1,3,1.75,400000
10480,1,3,1,397500
1950,3,3,2.5,755000
9230,1,5,1.5,287000
16000,2,4,2.5,480000
9622,2,3,2.5,490000
6715,2,3,2.5,365000
2244,2,3,2.5,260000
12675,1.5,4,1,505000
4800,1,2,1,260000
4800,1,2,1,430000
12193,2,4,2.5,905000
6408,2,3,2,440000
5500,1.5,4,1,439500
6696,1,3,2,270000
6291,2,3,2.5,306500
1656,2,3,2,380000
9652,1,4,1.75,215000
6150,1,2,1,299900
7809,2,4,3.5,1.45E+06
33888,1.5,3,1,239950
7345,1,4,2.5,494000
7700,1,4,1.5,317500
7291,2,4,2.5,670000
7831,2,3,2.5,650000
7328,2,4,2.5,852000
1360,2,2,1.5,250000
10853,1,3,1.5,264950
6804,1,2,2,582500
1564,2,3,2.5,384000
3360,1.5,3,1.5,817000
9520,1,4,1.75,320000
39446,1,4,2.25,445800
4500,1,2,1,263300
6635,1,3,1,215000
4500,1.5,5,4,842500
4500,1.5,5,4,850000
12413,2,5,2.5,386000
5257,2,4,2.5,251100
16748,1,3,1.75,435000
12811,2,4,4,870000
20620,2,6,1,800000
15500,1,3,1.75,555000
37500,2,2,1,280000
2366,1,3,1,356000
6000,2,4,2.5,675000
11900,2,4,2.25,605000
4211,1.5,5,2,690500
4225,1,2,1.75,437000
13430,1.5,5,2,850000
4600,1.5,4,2.25,350000
6770,1.5,2,2.25,480000
25641,2,3,2.25,379500
9784,2,5,4.5,600000
16582,2,4,3.5,1.44E+06
1075,2,2,1.5,303000
10037,1,4,2.5,800000
6000,1.5,2,2,549000
9600,1,3,2.5,324950
6537,1,2,1,170000
6500,1,3,1,178000
8314,1,3,1,144000
20031,1,4,2.75,1.58E+06
7000,1,2,1,258000
5050,1,3,1.75,345000
14800,1,3,1.75,470000
91681,2,5,2.5,2.90E+06
7790,1,3,1.5,350000
11276,1,2,1.75,225500
4000,1,2,1,473000
9623,1,3,1.75,279000
8227,1,3,1,470000
4800,1,3,1.75,565000
6800,1,3,2,695000
37642,1,3,1.75,315000
4499,2,3,2.5,529000
101494,1.5,5,3.75,750000
10500,2,3,2.25,481500
7412,1,3,2,211000
7500,1,3,2.25,455000
4838,1,2,1,238950
5100,2,4,3.5,722500
19193,1,4,2.5,795000
9600,2,4,2.25,327500
5100,2,4,3,585000
10875,1,4,2,775000
4200,2,4,2.5,645000
12368,1,4,2.75,445000
5858,1,3,1.75,257950
7560,1,5,1.75,375000
7223,2,3,2.5,245000
41022,2,3,2.5,725000
4922,2,4,2.5,702000
14986,2,3,1.75,330000
4800,1.5,3,1.5,940000
11396,1.5,3,1,354500
8700,1.5,4,2.75,279950
7034,1,3,2.25,284000
21562,1,5,2,480000
21562,1,5,2,647500
35000,2,3,2.5,625000
4875,1,3,1,152000
10181,1,3,1,322000
4000,1,3,1.75,445000
3960,1.5,3,1,595000
7334,1,3,1,165000
6206,2,4,2.5,278500
10625,1,3,1.75,517500
4200,1,2,1,343566
9714,1,4,2.25,286285
6200,1,4,1.5,474905
4800,1,3,1.75,550000
16000,2,4,2.5,286000
7215,1,3,3.25,900000
5159,2,3,2.25,449950
7560,2,4,1.5,259000
8125,1,3,2.25,340000
56192,2,4,2.5,785000
3300,1.5,2,1,490000
6250,1,4,2,344950
2975,2,3,2,950000
3988,1,4,1.75,810000
16050,1,2,2.5,998160
7389,1,3,1.75,377000
6773,1,3,2,595000
4800,1,2,1,313300
5225,1.5,5,1.75,360000
7350,1,3,1.75,188000
203860,1.5,3,2.5,755000
4060,2,5,3.5,1.29E+06
13280,2.5,3,1,455000
9312,2,5,3.5,817500
1481,3,3,2.25,550000
8725,1,3,1.75,260000
34175,1.5,3,2,320000
10623,1,3,3.25,1.15E+06
7370,1,4,2.5,362000
1750,2,3,2.5,503500
3475,2,3,2.5,653000
12447,2,4,2.75,760000
5050,1,4,1.75,775000
34689,1.5,4,3.75,1.34E+06
10911,1,5,1.75,417500
9350,1,3,1.5,525000
2400,1,2,1,217000
6308,1,4,2.75,525000
8700,1,4,2.25,442500
10440,1,4,1.75,525000
10630,1,4,1.75,425500
218235,2,3,2.75,710000
10948,1,4,3,545000
16410,1.5,5,2.75,410000
8100,1,3,2.25,245000
6697,1,2,1,194900
5390,2,4,2.5,284000
52769,1.5,2,1.75,280000
87991,1,3,1.75,280000
5500,1,4,2,360000
4323,1,2,1,405000
13981,2,4,2.5,865000
11100,1,4,2,483300
9268,2,4,2.5,355000
8767,1,3,2.25,274950
6134,2,3,4.5,1.93E+06
15586,2,3,3.25,755000
223462,2,4,5.75,1.94E+06
9600,1,3,1.75,309212
7615,1,3,2.25,219950
5150,1.5,3,2.5,690000
4000,1,3,1.75,250800
35255,1,3,2,557500
3825,1.5,4,1.75,941000
19401,1.5,6,4.75,3.65E+06
8600,1,4,2.75,305000
16110,1,4,1.5,815000
34527,1,3,2.5,1.02E+06
6990,1.5,4,3,1.24E+06
8164,2,3,2.5,535000
10454,1,3,1,775000
8670,1,3,2,255000
9750,1,2,1,327000
8819,2,4,2,560000
6349,2,4,3.5,1.34E+06
5200,1,3,1.75,199500
97574,2,4,2.5,760000
6000,3,3,2.25,439000
5250,1,4,2.25,527000
13590,1.5,3,2.75,199950
8188,2,3,2.25,254000
5000,1,2,1,393000
12614,1,5,2.25,585000
7740,1,2,2,450000
4008,1,2,1.75,565000
7900,1,5,2.25,330000
65340,1.5,3,2,870000
8117,1,4,2.5,585000
208737,2,3,2.5,500000
7384,1,3,2,225000
7384,1,3,2,295000
14800,1,3,2.75,775000
11050,1,3,1,280000
3200,1.5,3,2.5,539000
14033,1,3,1.75,567500
7902,1,4,2.25,442500
4635,3,5,3.75,598200
10843,2,4,2.5,610000
4936,2,3,2.5,544900
38258,2,4,2.5,557500
7500,1,3,2.5,532500
15907,2,4,3.25,1.35E+06
2825,1,3,2,750000
10958,2,3,2.5,530000
2036,2,3,2.5,346100
16800,2,4,2.25,260000
9150,1,3,1.75,365000
42800,1,3,2,615000
6916,2,4,2.5,318400
7172,2,4,2.5,498500
7490,1,3,1.75,450000
7905,1,3,2,200000
8906,1,3,1,234000
8384,1,2,1,121800
5875,1.5,3,2.75,805000
7283,1,4,2.25,410000
4534,2,3,2.5,475000
21074,2,4,2.5,1.34E+06
7920,1,1,1,269000
9520,2,4,2.25,573000
2890,2,3,2.5,330000
7410,1.5,4,1,252750
7546,1,2,2.5,745000
7633,1,3,2,280000
6920,1,4,2.5,535000
5100,1,4,1.5,580000
7200,1,3,1.75,301000
7700,1,4,1.75,600000
6604,2,5,3,538900
4375,2,3,2.5,366000
6783,2,4,2.5,303000
1578,2,3,2.25,432000
6120,1,2,1.5,300000
7826,2,3,3,908800
4750,1,3,1.5,500000
16117,1,5,2,254000
4268,1.5,5,1.5,470000
7860,1,3,2,480000
8503,1,3,1.75,536000
8611,2,4,3.5,1.35E+06
40887,1,3,2.25,550000
6400,1,3,1.75,260000
982,2,2,1.5,284900
3000,2,3,2.5,740000
5000,1,2,1,425000
7500,1,3,1,230000
4000,2,3,1.5,675000
7807,1,3,1.75,267500
8820,1,4,2.5,814000
217800,1.5,4,3,1.25E+06
7232,1,3,2,460000
9608,2,3,2.5,445000
7027,2,3,2.5,715000
5992,1,3,1.75,425000
4750,2,4,2.5,370000
8200,1,2,1.75,302000
7420,1,4,1.75,453000
10716,1,3,1.75,290000
47502,2,4,2.5,1.04E+06
41984,1,4,2.25,925000
19876,1,3,1.75,600000
5750,1,3,1.5,354000
9344,1,4,1.75,204950
5400,2,4,2.5,675000
20012,2,4,3.25,995000
10960,1,5,2,800000
3711,2,3,2.5,472500
13500,1,4,2.5,549950
2897,1,3,1.75,575575
12275,1,4,3.25,545000
7434,1,3,2.25,340000
5512,1,3,1,225000
10506,1,2,1.75,299950
4000,2,4,3.5,829900
4200,2,4,2.5,340000
7800,1,4,2.25,515000
6906,2,4,2.5,601000
8581,2,3,2.5,470000
6400,1,3,1,371500
45738,1,3,1.75,550000
7720,2,4,2.5,242550
9647,1,3,1.5,367500
8763,2,4,3.5,359000
8245,1,3,2,204900
239580,1,4,2.75,850000
4452,2,3,1.5,187000
28000,1,3,2.75,326000
28000,1,3,2.75,340000
28535,1,6,2.25,330000
7769,2,4,3.5,782000
5974,2,4,2.5,612000
7216,1,3,2,400000
9680,2,5,3.5,941500
747,2,2,1.5,313000
4250,1.5,4,2.25,735000
10123,1,3,1.75,471000
9800,1,3,1,350000
9601,1,4,2.5,530000
9548,2,4,3,415000
8994,2,4,2.25,639500
27820,1.5,4,2.75,580379
2513,2,2,2.5,378000
9298,1,3,2.25,265000
9750,1,3,1.75,212000
13068,2,4,3,400000
6491,2,4,2.5,750000
12750,1,5,2.5,384900
5200,1,2,1,176000
4632,2,3,2.75,350000
7210,1,3,1,168000
3060,1,4,2,358000
32757,1,3,2.75,580000
10280,1,3,1.75,442500
1249,3,2,2.5,515000
12900,1,5,2.5,554000
